treat,saw_ads,sales,past_sales,female
0,1,0,0,1
1,0,0,9.5299997,1
1,1,0,0,1
0,1,0,0,0
0,1,0,0,1
1,1,0,0,0
0,1,8.9300003,5.8099999,1
1,1,0,0,1
1,1,0,0,1
0,1,0,4.6900001,1
1,1,0,0,1
0,0,0,0,1
1,1,0,0,0
0,1,0,0,1
0,1,0,0,0
1,0,0,0,1
1,1,0,0,1
1,0,0,0,1
0,1,0,0,0
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,5.8000002,0,1
1,0,0,0,1
0,1,0,0,1
1,1,7.3299999,0,1
1,1,0,0,1
0,1,0,0,0
0,0,0,0,1
1,1,0,8.04,1
1,0,0,0,0
0,1,0,0,1
0,0,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,8.4200001,1
0,1,0,0,1
1,1,0,0,0
0,0,0,0,1
1,0,0,0,1
1,1,5.9299998,0,1
1,1,0,0,0
0,1,0,4.4400001,1
1,1,0,0,1
1,0,0,10.9,1
0,1,0,0,0
0,0,0,0,1
1,1,0,0,1
1,0,0,0,1
1,1,0,6.5300002,1
1,1,0,0,1
0,0,0,0,1
0,0,0,0,1
0,1,0,5.5999999,0
0,1,0,0,1
0,1,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,1,0,0,1
1,1,0,9.3299999,1
1,1,0,0,1
1,0,10.69,0,1
0,1,0,0,0
1,0,0,8.1800003,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,7.1799998,0,1
0,1,0,0,1
0,0,0,0,1
1,0,0,0,1
0,1,0,7.8899999,1
1,1,0,0,0
1,1,8.5200005,0,1
0,0,0,0,1
0,1,0,0,1
1,0,0,0,0
0,0,0,0,1
0,0,0,0,1
1,1,0,0,1
0,0,0,0,0
0,1,0,0,1
0,1,0,0,1
1,0,0,0,1
0,1,0,0,1
1,0,0,0,1
1,1,0,0,0
1,1,12.86,0,1
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,0,0,10.37,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,4.4400001,0
0,0,0,16.959999,1
0,1,0,0,0
0,1,0,5.8200002,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,0,0,0,1
1,1,0,0,0
1,0,0,0,1
0,1,0,4.6700001,1
1,1,0,0,1
1,0,0,0,1
1,1,0,4.9000001,1
0,0,0,0,0
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,0,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
0,1,0,0,0
0,0,13.53,0,1
1,0,14.84,0,1
0,1,0,0,1
1,1,4.8499999,9.5299997,1
0,1,0,0,0
0,1,4.6399999,0,0
1,1,0,0,1
1,1,6.04,5.5999999,1
1,0,0,0,0
1,1,0,0,0
0,1,0,0,1
1,1,0,0,1
1,0,0,0,0
1,1,0,0,1
0,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,0,0,0,1
0,0,0,0,1
0,1,0,0,0
0,0,9.0500002,0,1
0,1,0,0,0
1,1,6.4499998,0,1
1,1,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,11.33,0,0
1,0,0,0,1
1,1,0,0,1
1,1,0,7.3099999,1
0,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,0
1,0,0,0,1
0,0,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,8.6199999,1
0,1,0,0,0
0,1,0,0,0
1,1,0,0,1
1,0,0,0,0
0,1,0,0,1
0,0,0,0,1
0,1,7.1500001,0,1
1,0,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,5.46,0
0,1,0,0,0
0,1,0,0,1
1,1,0,0,1
0,0,0,0,0
1,1,0,0,1
0,1,0,0,1
1,1,3.1099999,0,0
0,1,0,6.1799998,1
1,0,0,0,0
1,1,0,0,0
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,0,12.55,0,0
1,1,0,0,0
0,0,0,0,1
1,0,0,0,0
1,1,0,0,1
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
0,0,9.0299997,0,1
1,0,0,0,1
0,1,0,0,0
1,1,0,0,1
1,1,0,6.8699999,1
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
0,1,0,0,0
0,0,0,0,0
1,0,0,0,0
1,1,0,0,0
0,1,0,4.6700001,1
0,1,0,0,1
1,1,0,0,0
0,1,0,0,0
1,1,7.5300002,0,1
1,1,0,0,0
1,1,6.0700002,0,1
0,1,0,0,1
1,1,0,0,0
0,1,0,0,1
0,0,0,0,1
1,1,0,0,1
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,0
0,1,0,0,0
1,1,4.6300001,0,1
0,0,0,0,0
0,1,0,0,0
0,1,0,0,1
0,1,0,5.2600002,0
1,1,0,0,1
1,0,0,0,1
0,1,0,0,1
1,0,0,0,0
1,1,0,0,0
1,0,0,0,0
0,1,0,0,1
0,0,0,0,1
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,0
1,1,5.04,0,0
1,1,0,0,1
0,1,0,8.7200003,1
1,1,0,0,1
1,1,0,0,1
1,0,0,0,0
0,1,0,0,1
0,1,0,0,0
1,1,0,0,0
1,0,0,0,1
1,1,0,0,0
1,1,0,8.3900003,1
0,1,0,0,1
1,1,0,7.4099998,1
0,1,7.6199999,0,1
0,1,0,0,0
0,1,0,0,0
1,1,0,0,0
1,1,0,0,1
1,0,0,0,0
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,1
1,0,0,0,1
1,1,0,0,1
1,1,0,0,1
0,0,0,0,0
0,1,0,0,0
0,1,8.3400002,0,1
1,1,0,0,1
1,1,0,7.0599999,1
1,0,0,0,1
0,1,4.3299999,0,1
1,1,7.6700001,0,1
1,1,0,0,0
1,1,0,5.3299999,1
0,1,0,6.8899999,1
1,1,0,9.9700003,1
1,1,0,0,1
0,1,0,0,1
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,1,3.23,0,1
0,0,0,0,1
0,0,0,0,1
0,1,0,0,0
1,1,0,0,1
0,0,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,0
0,1,0,0,1
0,0,0,0,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,1
1,1,0,0,1
0,0,0,0,1
0,0,0,0,0
1,0,3.4000001,0,0
0,1,0,0,0
1,1,0,0,1
0,1,0,0,1
0,0,0,0,0
1,1,0,0,1
1,1,0,6.3899999,1
0,1,0,5.1399999,1
1,1,0,0,0
0,0,0,0,0
1,1,4.54,0,1
0,1,0,0,1
0,1,0,0,0
1,0,0,0,1
1,1,9.4499998,0,1
0,1,0,0,1
0,0,0,0,1
1,0,7.1799998,0,0
1,1,6.0300002,0,1
0,1,0,0,1
0,0,0,0,1
0,1,5.5799999,0,0
0,0,0,0,0
1,1,0,0,1
0,1,8.96,0,1
1,0,0,0,1
0,0,0,0,1
0,1,0,10.25,1
0,1,0,0,1
1,0,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,0
0,1,0,0,1
0,1,0,0,1
1,1,0,6.04,0
0,1,0,4.5300002,0
0,1,0,0,1
0,1,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,1,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,1,2.8599999,0,0
0,0,0,0,1
1,1,0,0,1
0,0,0,0,1
0,1,0,8.0500002,1
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,0,0,0,1
1,1,0,0,1
1,1,0,0,0
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,0,0,0,0
1,0,0,0,1
0,1,0,0,1
1,1,0,0,0
1,0,0,0,1
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
1,0,0,0,1
1,1,0,0,1
1,1,0,0,1
1,0,0,7.52,1
1,1,0,0,1
0,1,0,0,1
1,0,0,0,0
1,1,0,4.4499998,1
1,0,0,0,1
1,0,0,0,1
0,0,0,7.9899998,1
1,0,0,15.86,1
1,1,0,0,1
0,0,0,0,1
1,1,0,0,1
1,0,7.3099999,0,0
0,0,0,0,1
0,1,0,0,0
1,0,0,0,1
0,0,0,0,0
1,1,5.2399998,0,1
0,1,0,0,1
1,0,0,0,0
1,0,0,0,0
1,1,0,0,1
1,1,0,0,1
1,0,0,0,1
1,1,3.1900001,0,0
0,1,0,6.4400001,1
0,1,0,0,1
0,1,0,0,0
0,0,0,0,0
1,1,0,0,1
0,1,0,0,1
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,0
1,1,0,0,1
1,0,0,0,1
0,1,0,0,1
0,0,0,0,1
0,1,0,0,1
0,0,0,0,0
0,1,0,0,1
1,1,0,0,0
1,1,0,8.1000004,1
1,1,6.3400002,0,1
0,1,0,0,0
0,0,0,0,1
0,1,3.3599999,0,1
1,1,0,0,1
1,1,0,3.96,0
1,0,0,0,1
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
0,1,0,0,1
1,1,0,0,0
0,0,0,0,1
0,1,0,0,1
1,0,0,0,1
1,1,7.0999999,0,0
1,1,0,0,1
1,1,0,0,1
1,0,0,0,0
1,1,6.6199999,0,1
1,1,4.8200002,0,1
1,1,0,0,1
0,0,6.0599999,0,0
1,1,0,0,1
1,1,0,0,1
0,0,0,0,1
1,1,0,0,0
1,0,0,8.0900002,1
1,1,0,9.7200003,1
0,1,0,0,1
1,1,8.3400002,10.99,1
1,1,0,0,1
0,1,0,3.3800001,0
1,0,0,0,0
0,1,0,0,1
0,1,0,0,1
1,1,6.1199999,0,1
1,0,0,0,0
1,1,0,0,1
1,1,0,0,0
0,1,0,6.2800002,1
1,1,6.98,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,4.8200002,1
0,1,0,0,1
1,1,0,0,1
1,1,8.0799999,0,1
0,1,0,4.0999999,1
0,1,0,0,1
0,1,0,2.6300001,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,9.7299995,0,1
1,0,0,10.69,1
0,1,0,6.3000002,0
1,0,0,0,1
1,0,0,0,1
1,1,0,0,1
0,0,0,0,1
1,0,0,0,1
1,1,0,0,1
1,0,9.04,0,1
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,0,0,0,1
1,0,0,14.88,1
1,1,6.5999999,0,1
1,1,0,0,0
1,1,0,0,1
0,1,0,0,1
0,0,0,0,1
1,1,0,0,0
0,1,0,0,0
0,1,0,0,1
1,1,0,0,1
1,0,0,0,1
0,1,0,0,1
0,0,0,0,1
1,0,0,0,1
0,1,4.4899998,0,1
1,0,0,0,1
1,1,0,0,1
1,0,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,0
1,1,0,0,0
1,1,0,0,1
0,0,0,0,0
0,1,2,4.2399998,0
1,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,0,0,0,0
0,0,5.1300001,0,0
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,0,0,0,1
1,1,0,0,1
0,0,0,0,0
1,0,0,0,1
0,1,0,0,1
1,1,7.6999998,0,1
0,1,0,0,0
0,0,0,0,1
1,0,0,0,0
1,1,0,0,1
0,0,0,0,0
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,0
1,0,0,0,1
1,1,0,0,1
0,0,0,0,1
1,1,0,0,0
1,1,6.8800001,0,1
1,1,0,0,1
0,1,0,9.9099998,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,7.9099998,1
1,1,0,7.23,1
1,1,0,0,1
0,1,0,0,1
1,0,0,0,0
0,0,0,0,1
1,1,0,0,1
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,0,0,0,0
1,1,0,0,1
1,1,0,0,0
0,0,0,0,0
1,1,0,0,1
1,1,0,0,0
1,0,0,10.63,1
1,0,0,0,1
1,1,0,0,0
0,0,0,0,1
1,0,0,0,0
1,1,0,0,0
1,1,0,0,0
0,1,0,0,1
0,0,0,0,1
0,0,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,0
0,1,0,0,0
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,0,0,0,1
1,1,0,4.1799998,0
1,1,0,0,1
0,1,0,0,1
1,1,7.0900002,0,1
0,0,0,0,0
1,1,0,0,1
0,1,6.75,0,1
0,0,0,0,1
0,1,0,0,1
1,1,0,0,0
1,0,0,0,1
0,1,0,6.5500002,1
0,0,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,0,0,0,0
1,1,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,1,0,0,1
1,1,0,0,1
0,0,16.469999,0,1
1,1,0,0,0
1,0,0,0,0
0,0,0,0,1
1,1,0,0,1
1,1,0,0,0
0,0,0,0,1
1,1,0,9.8199997,1
1,1,0,0,1
0,1,0,3.1199999,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,0
1,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,4.9499998,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
0,1,0,0,1
1,1,0,0,1
1,1,4.98,3.98,1
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,0,0,0,0
1,1,0,0,1
1,1,0,0,1
1,0,9.1899996,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,0,0,0,1
0,1,0,0,1
1,0,0,0,0
1,0,0,10.35,0
1,1,0,0,1
0,0,0,0,1
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,4.3400002,6.25,1
1,0,0,0,1
0,1,0,0,1
1,0,0,0,1
1,0,0,0,1
1,1,0,4.3899999,0
1,1,5.7199998,0,0
0,1,0,0,1
1,1,4.9299998,0,1
1,0,0,0,1
0,1,0,0,1
1,0,0,10.09,1
1,1,2.97,0,0
1,1,0,0,1
1,1,0,0,0
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,6.6100001,0,1
1,0,0,0,1
1,1,0,6.1799998,1
1,1,0,0,1
1,1,0,0,1
0,1,0,6.5999999,1
1,1,0,0,1
0,0,0,0,1
0,1,6.4299998,7.9899998,1
0,1,3.8399999,0,1
1,1,0,0,1
1,1,0,3.1199999,0
0,1,0,0,1
0,1,5.9499998,0,1
0,0,0,0,1
1,1,0,0,1
1,1,0,0,0
0,1,0,0,1
1,0,0,6.3400002,0
1,1,0,0,1
1,0,8.8599997,0,1
1,1,0,0,1
1,1,0,8.8699999,1
1,1,0,10.56,1
0,1,0,0,1
0,0,0,0,1
1,1,0,0,1
1,1,13.43,9.5600004,1
1,0,0,0,1
1,1,0,0,1
1,0,6.96,0,0
1,1,0,0,0
0,0,0,0,0
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
1,0,0,0,1
0,1,0,0,1
1,1,0,0,0
1,1,0,8.9799995,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,0,0,0,0
0,0,5.2399998,0,0
1,1,0,0,1
1,0,0,0,1
1,0,0,0,1
1,1,0,0,1
0,1,0,10.56,1
1,1,0,0,1
1,1,0,0,0
0,0,12.86,0,1
1,1,0,3.52,1
0,1,0,0,1
0,0,0,0,0
1,0,0,0,1
1,1,0,3.5599999,0
0,0,0,0,1
0,1,0,3.78,0
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,0,0,10.01,1
1,0,6.2600002,0,1
1,0,0,0,1
0,1,0,0,0
0,1,0,0,1
0,1,0,4.1599998,0
0,1,7.8600001,0,0
1,1,0,0,1
1,0,0,0,0
0,1,0,8.4099998,1
1,1,0,0,1
1,1,0,0,1
0,0,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,10.61,1
1,1,0,0,1
1,1,0,0,1
0,0,0,0,0
0,1,0,0,0
0,1,0,5.5,1
1,1,0,0,0
0,0,0,0,1
1,1,0,0,1
1,0,0,0,1
0,1,0,4.5700002,0
1,1,0,0,1
1,1,0,0,0
0,1,5.6900001,11,1
1,0,0,0,1
0,1,0,0,1
1,0,0,0,1
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
0,0,0,0,1
1,1,0,0,0
1,1,0,0,1
0,1,5.3400002,0,1
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,0,8.7200003,0,1
0,0,0,7.9000001,0
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,0,0,0,1
1,1,0,0,1
0,0,0,0,0
1,1,0,0,0
0,1,0,9.1400003,1
1,1,0,0,0
0,0,0,0,1
1,0,0,0,1
1,1,0,0,1
0,0,0,0,0
1,0,0,0,0
0,1,0,0,0
1,0,0,0,1
1,1,5.1700001,0,1
1,1,0,4.1700001,0
0,0,0,0,0
1,1,4.5900002,0,1
1,1,0,0,1
1,0,0,0,0
1,0,0,0,0
1,1,0,0,1
0,1,0,5.0900002,1
0,1,0,0,1
0,0,0,0,1
1,0,8.6400003,0,0
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,5.3400002,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,5.7800002,1
0,0,0,12.95,1
1,0,0,0,0
1,1,0,0,1
1,0,0,15.46,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
0,0,12.95,0,1
0,0,0,0,0
0,1,0,0,1
1,1,0,0,0
1,1,0,7.9499998,1
1,1,4.4499998,0,1
0,1,0,0,1
0,1,0,0,0
1,1,0,0,0
0,0,0,0,1
1,0,0,11.45,1
0,1,0,0,0
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,1,5.1500001,8.0100002,1
0,1,3.6800001,0,1
0,1,6.0700002,0,1
1,1,0,0,1
1,0,0,0,1
0,0,0,8.3199997,0
0,1,0,0,1
0,0,8.1599998,0,0
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,4.4200001,0
0,1,0,0,1
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
1,0,0,0,0
1,0,0,0,1
0,1,0,5.48,1
1,1,0,0,1
1,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,1
0,1,0,4.3800001,1
1,0,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,0,0,0,0
1,1,4.6300001,0,1
1,1,0,0,0
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,0,0,0,1
0,0,0,0,1
1,1,9,0,1
1,1,6.5700002,0,1
1,1,0,4.4299998,0
0,1,0,0,1
0,1,0,0,0
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,0,15.63,0,1
1,1,0,0,1
1,0,0,0,0
1,1,4.0700002,0,1
1,1,0,0,0
0,1,7.5999999,10.11,1
0,0,0,11.19,1
1,0,0,21.200001,1
0,1,0,0,1
1,0,0,0,1
1,1,0,0,1
1,1,0,0,1
0,0,0,0,1
0,0,0,11.01,1
0,1,13.14,8.4499998,1
1,1,0,4.48,1
0,1,0,0,1
1,1,0,0,1
1,1,3.21,0,0
1,0,0,0,1
1,0,14.7,0,1
1,1,0,0,0
1,1,0,0,0
0,0,0,0,1
0,1,0,0,1
0,1,7.7199998,0,1
1,0,0,0,0
0,1,0,8.5200005,0
1,1,0,0,1
1,1,0,0,1
1,1,0,4.3899999,0
1,1,5.71,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,3.9100001,0
1,1,0,0,0
0,1,2.8900001,0,0
0,0,0,0,1
1,1,0,0,1
1,1,0,0,1
1,0,0,0,1
1,1,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,1,0,0,0
0,1,0,0,1
0,0,0,11.83,1
0,0,0,0,0
0,0,0,0,0
1,1,0,4.9299998,1
1,1,0,0,1
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
1,1,0,0,0
0,1,0,0,1
1,0,0,0,1
1,1,0,6.6100001,0
1,1,0,0,1
0,1,0,0,0
0,0,0,0,1
1,1,0,0,1
1,0,0,0,1
0,1,0,0,1
1,1,0,0,0
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
0,1,0,0,1
0,0,0,0,1
0,1,0,0,1
1,1,0,0,1
0,0,0,0,0
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
0,0,0,0,1
0,1,0,0,0
1,1,3.1800001,0,1
0,1,0,0,1
1,0,0,10.58,1
1,0,0,0,1
1,1,12.18,9.4499998,1
0,0,0,0,0
1,1,4.4499998,0,1
1,1,0,0,0
1,0,0,0,1
1,0,13.94,9.1899996,1
0,1,0,0,1
0,0,0,0,0
1,1,0,0,1
0,1,8.4899998,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,0
1,0,8.1499996,0,0
1,0,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,9.25,1
0,1,0,0,0
1,0,0,0,1
1,1,0,0,0
0,0,0,0,0
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,0,0,0,0
0,1,0,0,1
1,1,0,0,1
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
0,0,4.0300002,0,0
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,0,0,0,1
0,0,0,6.1399999,1
0,1,0,0,1
1,0,0,0,1
0,0,0,0,0
0,1,0,0,1
1,0,0,0,1
1,0,0,14.83,1
1,1,0,0,1
0,1,0,0,1
1,0,0,9.4399996,1
0,0,0,0,1
1,1,6.0599999,0,1
1,0,0,0,1
1,0,0,0,1
1,1,0,0,1
0,1,0,6.7399998,1
0,1,0,0,1
1,1,0,0,1
0,1,6.6799998,0,1
0,1,0,7.8899999,1
1,1,0,0,1
1,1,0,0,1
1,1,0,3.8199999,0
1,0,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
0,0,0,0,1
1,0,0,0,1
1,1,0,0,1
0,1,0,0,0
1,0,0,0,1
1,0,0,0,0
0,1,0,7.0100002,1
0,0,0,14.61,1
0,0,0,0,1
1,0,0,0,1
0,0,9.9099998,0,1
0,0,12.04,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,0
0,1,0,0,1
1,0,0,0,0
1,1,0,0,0
1,0,0,0,1
0,1,0,0,1
1,1,6.73,5.27,1
0,1,0,0,0
1,1,0,0,1
1,0,0,0,1
1,0,0,0,1
0,1,6.25,0,1
1,1,0,0,1
1,1,0,7.5100002,1
1,1,0,0,0
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,12.61,0,0
0,0,7.8099999,0,0
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,4.3299999,0,1
1,0,0,0,1
0,1,4.1999998,3.02,0
1,0,0,0,0
0,1,0,0,0
0,1,0,0,1
1,1,0,0,1
1,1,7.6300001,0,1
1,0,0,9.5699997,0
1,1,7.3800001,4.98,1
1,0,0,0,1
1,1,8.7299995,0,1
1,1,0,0,1
1,1,0,0,1
1,0,0,0,0
0,0,0,0,1
1,1,0,0,1
1,0,0,0,0
0,1,0,0,1
0,1,0,0,1
1,1,4.79,0,0
1,0,0,0,1
1,1,0,0,1
1,0,0,12.12,1
0,1,10.56,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
0,0,0,0,1
0,1,5.71,0,1
1,1,0,0,1
1,0,0,0,0
0,0,0,0,1
0,1,0,0,0
1,1,9.8000002,0,1
1,1,0,0,1
1,1,0,0,0
0,1,0,4.4299998,0
